folder,video,total_moving_ball_frames,strike_frames,avg_overlap_percent,max_overlap_percent,strike_frame_rate,pitch_result
30 to 39,IMG_0030.mov,3,0,0.0,0.0,0.0,Ball
30 to 39,IMG_0031.mov,3,1,0.19577705325260072,0.5873311597578021,0.3333333333333333,Strike
30 to 39,IMG_0032.mov,3,0,0.03543384373773078,0.10630153121319234,0.0,Ball
30 to 39,IMG_0033.mov,3,1,0.4135316943083587,1.0,0.3333333333333333,Strike
30 to 39,IMG_0034.mov,3,1,0.3333333333333333,1.0,0.3333333333333333,Strike
30 to 39,IMG_0035.mov,2,1,0.4725674383806479,0.9451348767612958,0.5,Strike
30 to 39,IMG_0036.mov,2,0,0.0,0.0,0.0,Ball
30 to 39,IMG_0037.mov,2,1,0.2398607855671569,0.4797215711343138,0.5,Strike
40 to 47,IMG_0040.mov,2,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0041.mov,2,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0042.mov,2,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0043.mov,3,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0044.mov,1,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0045.mov,2,0,0.0,0.0,0.0,Ball
40 to 47,IMG_0046.mov,2,0,0.01921690741861997,0.03843381483723994,0.0,Ball
40 to 47,IMG_0047.mov,1,0,0.0,0.0,0.0,Ball
74 to 79 and 170 to 173,IMG_0074.mov,61,10,0.15437294767208518,1.0,0.16393442622950818,Strike
74 to 79 and 170 to 173,IMG_0078.mov,93,0,0.0022603088698774964,0.14996537738648788,0.0,Ball
74 to 79 and 170 to 173,IMG_0079.mov,80,9,0.10254991255324926,1.0,0.1125,Strike
74 to 79 and 170 to 173,IMG_0170.mov,132,115,0.8207440296741427,1.0,0.8712121212121212,Strike
74 to 79 and 170 to 173,IMG_0173.mov,68,43,0.6323529411764706,1.0,0.6323529411764706,Strike
83 to 85,IMG_0083.mov,10,2,0.2,1.0,0.2,Strike
83 to 85,IMG_0084.mov,12,2,0.11687561100874637,0.7235753676470593,0.16666666666666666,Strike
83 to 85,IMG_0085.mov,7,0,0.0,0.0,0.0,Ball
